Username,Handle,Published,Tweet,Duration
Carpe diem,https://twitter.com/Carpediem198507,"\xb7Oct 4, 2019",Breaking Trump News [5PM] 10/4/19 | CNN Breaking News Today Oct 4   Of course trump will deny and refuse to anything he's asked to do using any excuses he can find.,0.17411091700000014
Matt Menard,https://twitter.com/matt_menard2020,"\xb7Oct 7, 2019","Replying to @CNNBreaking News: President Trump has released a statement that the video of him getting pee'd on by Russian prostitutes is a ""Deep Fake"". ""It wasn't me! I was not in the movie Golden Showers for my Golden Years"".",0.17439500000000407
Ajay Anand | Rare Carat,N/A,N/A,N/A,0.17454858300000353
david justice,https://twitter.com/23davidjustice,"\xb7Oct 6, 2019",CNN State of Union with Jake Tapper 10/06/19 | CNN Breaking News Today O...  via @YouTube1,0.1746160420000038
lisa mirando,https://twitter.com/LisaMirandoCNN,"\xb7Oct 8, 2019","Another breaking news story from @PamelaBrownCNN and @kaitlancollins #cnnQuoteBrian Stelter@brianstelter\xb7Oct 8CNN scoop: The July 25 call ""deeply troubled national security pros... At least one National Security Council official alerted the White House's national security lawyers about the concerns...""",0.10266054200000241
Marc Spector (Not a spaz),https://twitter.com/MarcSpector77,"\xb7Oct 7, 2019",Replying to @CNNBREAKING NEWS: CNN has to find headline to trash Joker after they were disappointed from the lack of shootings.2,0.10279775000000058
The Louis Centeno Show,https://twitter.com/Superman0621,"\xb7Oct 9, 2019",Replying to @CNN and @blowryontvBREAKING NEWS. CNN is reporting that a man and a woman was arrested for dropping popcorn on the floor as they watch Joker. CNN is monitoring the situation why couple brought and was eating popcorn at a Joker movie. Stay tune lol lol13,0.1030977919999998
B. Anders Davidson,https://twitter.com/bandersdavidson,"\xb7Oct 4, 2019",CNN Newsroom [9AM] 10/04/19 | CNN Breaking News Today Oct 04  via @YouTube,0.10315570800000273
Julie Gaffney OLY  ,https://twitter.com/MedalistOlympic,"\xb7Oct 3, 2019",@JohnKingCNN This is CNN Breaking News: Todd angilly officially named the official National Anthem Singer for the Boston Bruins Succeeding Rene Rancourt! Please report on your show as CNN breaking News with the B.N graphic proceeding it!,0.10349066700000265
Foundlaurie ,https://twitter.com/foundlaurie,"\xb7Oct 7, 2019",Breaking Trump News [7AM] 10/07/19 | CNN Breaking News Today O...  via @YouTube  ,0.10357887500000373
Carpe diem,https://twitter.com/Carpediem198507,"\xb7Oct 4, 2019",Breaking Trump News [5PM] 10/4/19 | CNN Breaking News Today Oct 4   Of course trump will deny and refuse to anything he's asked to do using any excuses he can find.,0.10385400000000544
Matt Menard,https://twitter.com/matt_menard2020,"\xb7Oct 7, 2019","Replying to @CNNBreaking News: President Trump has released a statement that the video of him getting pee'd on by Russian prostitutes is a ""Deep Fake"". ""It wasn't me! I was not in the movie Golden Showers for my Golden Years"".",0.10414220799999896
Ajay Anand | Rare Carat,N/A,N/A,N/A,0.10427820800000376
david justice,https://twitter.com/23davidjustice,"\xb7Oct 6, 2019",CNN State of Union with Jake Tapper 10/06/19 | CNN Breaking News Today O...  via @YouTube1,0.1043377920000026
lisa mirando,https://twitter.com/LisaMirandoCNN,"\xb7Oct 8, 2019","Another breaking news story from @PamelaBrownCNN and @kaitlancollins #cnnQuoteBrian Stelter@brianstelter\xb7Oct 8CNN scoop: The July 25 call ""deeply troubled national security pros... At least one National Security Council official alerted the White House's national security lawyers about the concerns...""",0.08429524999999671
Marc Spector (Not a spaz),https://twitter.com/MarcSpector77,"\xb7Oct 7, 2019",Replying to @CNNBREAKING NEWS: CNN has to find headline to trash Joker after they were disappointed from the lack of shootings.2,0.08441816699999549
The Louis Centeno Show,https://twitter.com/Superman0621,"\xb7Oct 9, 2019",Replying to @CNN and @blowryontvBREAKING NEWS. CNN is reporting that a man and a woman was arrested for dropping popcorn on the floor as they watch Joker. CNN is monitoring the situation why couple brought and was eating popcorn at a Joker movie. Stay tune lol lol13,0.0847162499999996
B. Anders Davidson,https://twitter.com/bandersdavidson,"\xb7Oct 4, 2019",CNN Newsroom [9AM] 10/04/19 | CNN Breaking News Today Oct 04  via @YouTube,0.08478558399999514
Julie Gaffney OLY  ,https://twitter.com/MedalistOlympic,"\xb7Oct 3, 2019",@JohnKingCNN This is CNN Breaking News: Todd angilly officially named the official National Anthem Singer for the Boston Bruins Succeeding Rene Rancourt! Please report on your show as CNN breaking News with the B.N graphic proceeding it!,0.08508154199999751
Foundlaurie ,https://twitter.com/foundlaurie,"\xb7Oct 7, 2019",Breaking Trump News [7AM] 10/07/19 | CNN Breaking News Today O...  via @YouTube  ,0.08516266699999875
Carpe diem,https://twitter.com/Carpediem198507,"\xb7Oct 4, 2019",Breaking Trump News [5PM] 10/4/19 | CNN Breaking News Today Oct 4   Of course trump will deny and refuse to anything he's asked to do using any excuses he can find.,0.0854107499999941
Matt Menard,https://twitter.com/matt_menard2020,"\xb7Oct 7, 2019","Replying to @CNNBreaking News: President Trump has released a statement that the video of him getting pee'd on by Russian prostitutes is a ""Deep Fake"". ""It wasn't me! I was not in the movie Golden Showers for my Golden Years"".",0.08571204199999727
Ajay Anand | Rare Carat,N/A,N/A,N/A,0.0858299999999943
david justice,https://twitter.com/23davidjustice,"\xb7Oct 6, 2019",CNN State of Union with Jake Tapper 10/06/19 | CNN Breaking News Today O...  via @YouTube1,0.08588770899999787
lisa mirando,https://twitter.com/LisaMirandoCNN,"\xb7Oct 8, 2019","Another breaking news story from @PamelaBrownCNN and @kaitlancollins #cnnQuoteBrian Stelter@brianstelter\xb7Oct 8CNN scoop: The July 25 call ""deeply troubled national security pros... At least one National Security Council official alerted the White House's national security lawyers about the concerns...""",0.08761100000000255
Marc Spector (Not a spaz),https://twitter.com/MarcSpector77,"\xb7Oct 7, 2019",Replying to @CNNBREAKING NEWS: CNN has to find headline to trash Joker after they were disappointed from the lack of shootings.2,0.08777400000000313
The Louis Centeno Show,https://twitter.com/Superman0621,"\xb7Oct 9, 2019",Replying to @CNN and @blowryontvBREAKING NEWS. CNN is reporting that a man and a woman was arrested for dropping popcorn on the floor as they watch Joker. CNN is monitoring the situation why couple brought and was eating popcorn at a Joker movie. Stay tune lol lol13,0.08811791700000526
B. Anders Davidson,https://twitter.com/bandersdavidson,"\xb7Oct 4, 2019",CNN Newsroom [9AM] 10/04/19 | CNN Breaking News Today Oct 04  via @YouTube,0.08817750000000046
Julie Gaffney OLY  ,https://twitter.com/MedalistOlympic,"\xb7Oct 3, 2019",@JohnKingCNN This is CNN Breaking News: Todd angilly officially named the official National Anthem Singer for the Boston Bruins Succeeding Rene Rancourt! Please report on your show as CNN breaking News with the B.N graphic proceeding it!,0.0884980000000013
Foundlaurie ,https://twitter.com/foundlaurie,"\xb7Oct 7, 2019",Breaking Trump News [7AM] 10/07/19 | CNN Breaking News Today O...  via @YouTube  ,0.08858541700000444
Carpe diem,https://twitter.com/Carpediem198507,"\xb7Oct 4, 2019",Breaking Trump News [5PM] 10/4/19 | CNN Breaking News Today Oct 4   Of course trump will deny and refuse to anything he's asked to do using any excuses he can find.,0.08885708400000425
Matt Menard,https://twitter.com/matt_menard2020,"\xb7Oct 7, 2019","Replying to @CNNBreaking News: President Trump has released a statement that the video of him getting pee'd on by Russian prostitutes is a ""Deep Fake"". ""It wasn't me! I was not in the movie Golden Showers for my Golden Years"".",0.08910587500000133
Ajay Anand | Rare Carat,N/A,N/A,N/A,0.08926920900000113
david justice,https://twitter.com/23davidjustice,"\xb7Oct 6, 2019",CNN State of Union with Jake Tapper 10/06/19 | CNN Breaking News Today O...  via @YouTube1,0.08932870900000012
lisa mirando,https://twitter.com/LisaMirandoCNN,"\xb7Oct 8, 2019","Another breaking news story from @PamelaBrownCNN and @kaitlancollins #cnnQuoteBrian Stelter@brianstelter\xb7Oct 8CNN scoop: The July 25 call ""deeply troubled national security pros... At least one National Security Council official alerted the White House's national security lawyers about the concerns...""",0.11212287499999718
Marc Spector (Not a spaz),https://twitter.com/MarcSpector77,"\xb7Oct 7, 2019",Replying to @CNNBREAKING NEWS: CNN has to find headline to trash Joker after they were disappointed from the lack of shootings.2,0.11223841599999673
The Louis Centeno Show,https://twitter.com/Superman0621,"\xb7Oct 9, 2019",Replying to @CNN and @blowryontvBREAKING NEWS. CNN is reporting that a man and a woman was arrested for dropping popcorn on the floor as they watch Joker. CNN is monitoring the situation why couple brought and was eating popcorn at a Joker movie. Stay tune lol lol13,0.1126242499999961
B. Anders Davidson,https://twitter.com/bandersdavidson,"\xb7Oct 4, 2019",CNN Newsroom [9AM] 10/04/19 | CNN Breaking News Today Oct 04  via @YouTube,0.11270541599999717
Julie Gaffney OLY  ,https://twitter.com/MedalistOlympic,"\xb7Oct 3, 2019",@JohnKingCNN This is CNN Breaking News: Todd angilly officially named the official National Anthem Singer for the Boston Bruins Succeeding Rene Rancourt! Please report on your show as CNN breaking News with the B.N graphic proceeding it!,0.11300370800000081
Foundlaurie ,https://twitter.com/foundlaurie,"\xb7Oct 7, 2019",Breaking Trump News [7AM] 10/07/19 | CNN Breaking News Today O...  via @YouTube  ,0.11311662499999642
Carpe diem,https://twitter.com/Carpediem198507,"\xb7Oct 4, 2019",Breaking Trump News [5PM] 10/4/19 | CNN Breaking News Today Oct 4   Of course trump will deny and refuse to anything he's asked to do using any excuses he can find.,0.11354158299999995
Matt Menard,https://twitter.com/matt_menard2020,"\xb7Oct 7, 2019","Replying to @CNNBreaking News: President Trump has released a statement that the video of him getting pee'd on by Russian prostitutes is a ""Deep Fake"". ""It wasn't me! I was not in the movie Golden Showers for my Golden Years"".",0.1137741659999989
Ajay Anand | Rare Carat,N/A,N/A,N/A,0.11390224999999532
david justice,https://twitter.com/23davidjustice,"\xb7Oct 6, 2019",CNN State of Union with Jake Tapper 10/06/19 | CNN Breaking News Today O...  via @YouTube1,0.11400466599999959
lisa mirando,https://twitter.com/LisaMirandoCNN,"\xb7Oct 8, 2019","Another breaking news story from @PamelaBrownCNN and @kaitlancollins #cnnQuoteBrian Stelter@brianstelter\xb7Oct 8CNN scoop: The July 25 call ""deeply troubled national security pros... At least one National Security Council official alerted the White House's national security lawyers about the concerns...""",0.10471924999999516
Marc Spector (Not a spaz),https://twitter.com/MarcSpector77,"\xb7Oct 7, 2019",Replying to @CNNBREAKING NEWS: CNN has to find headline to trash Joker after they were disappointed from the lack of shootings.2,0.10483312499999897
The Louis Centeno Show,https://twitter.com/Superman0621,"\xb7Oct 9, 2019",Replying to @CNN and @blowryontvBREAKING NEWS. CNN is reporting that a man and a woman was arrested for dropping popcorn on the floor as they watch Joker. CNN is monitoring the situation why couple brought and was eating popcorn at a Joker movie. Stay tune lol lol13,0.10512495799999755
B. Anders Davidson,https://twitter.com/bandersdavidson,"\xb7Oct 4, 2019",CNN Newsroom [9AM] 10/04/19 | CNN Breaking News Today Oct 04  via @YouTube,0.10517799999999511
Julie Gaffney OLY  ,https://twitter.com/MedalistOlympic,"\xb7Oct 3, 2019",@JohnKingCNN This is CNN Breaking News: Todd angilly officially named the official National Anthem Singer for the Boston Bruins Succeeding Rene Rancourt! Please report on your show as CNN breaking News with the B.N graphic proceeding it!,0.1054467499999987
Foundlaurie ,https://twitter.com/foundlaurie,"\xb7Oct 7, 2019",Breaking Trump News [7AM] 10/07/19 | CNN Breaking News Today O...  via @YouTube  ,0.10551816599999597
Carpe diem,https://twitter.com/Carpediem198507,"\xb7Oct 4, 2019",Breaking Trump News [5PM] 10/4/19 | CNN Breaking News Today Oct 4   Of course trump will deny and refuse to anything he's asked to do using any excuses he can find.,0.10585166599999951
Matt Menard,https://twitter.com/matt_menard2020,"\xb7Oct 7, 2019","Replying to @CNNBreaking News: President Trump has released a statement that the video of him getting pee'd on by Russian prostitutes is a ""Deep Fake"". ""It wasn't me! I was not in the movie Golden Showers for my Golden Years"".",0.10620833299999788
